	name	uid	intro	followingNum
49	luz(ルス)🥀@7th TOUR -CARNIVAL-	luzabs	7th TOUR -CARNIVAL-  開催決定🥀YouTube→https://t.co/om4QE8ZsNR Instagram→https://t.co/JSfGVtSB7N 配信リンク→https://t.co/pe0f6gQRRi 連絡先→luz_official@yahoo.co.jp	10
50	DECO*27	DECO27	"曲を作っています🐳
YouTube: https://t.co/tDVoNjyxEj
LINEスタンプ: https://t.co/EInLquUGhi
公式グッズ: https://t.co/5C9lc4mRDQ"	0
51	TikTok Japan【公式】ティックトック	tiktok_japan	"ショートムービーアプリ『TikTok』の公式アカウント⛄️
サービスに関するお問い合わせはアプリ内フィードバックよりお送りください。 （リプライやDM等では対応できかねます⚠️）"	0
52	石田拳智(超無課金)/αD代表	mukakin1203	αD @oreratuyoi ｻﾌﾞ@mukatansab 歌@mukakintyou 【ゲーム垢】@mukakin0301芸能事務所アローズエンタテインメント	0
53	となりの坂田。@浦島坂田船	sakatandao	あほの坂田。となりの坂田。名前でネット中心に色々やってます。youtube👉《https://t.co/gJFIECirRS》 放送や日常ツイートはこっち→@sakatansab	0
54	森川ジョージ	WANPOWANWAN	はじめの一歩描いているマンガ家。	0
55	真島ヒロ	hiro_mashima	"RAVE,FAIRYTAIL,EDENS ZEROの作者です。いつも応援ありがとう！
Thank you for always supporting.
youtube:https://t.co/DfH8CVjdaJ…"	0
56	うらたぬき🍀浦島坂田船/浦田わたる	uratasama	浦島坂田船のリーダーやってます！/「スワロウ」で声優をしてます！ / おはツイ平日6時30分頃.土日祝日10時頃/リスナーを甘やかすのが得意です。/icon MACCO様	0
57	🤮Gero🤮	Gero2525	どうもげろです(･｀ｪ´･) ■肉チョモ@NIKU_CHOMO ■YouTube https://t.co/tJse7K3C2i■サブ垢https://t.co/Noz3KbzshE	0
58	Azur Lane Official	AzurLane_EN	The battleship girls game Azur Lane is now available! #AzurLane This is our official twitter. If you have any questions, please email to al.cs@yo-star.com	0
59	ヤマハ バイク	yamaha_bike	楽器じゃないほう/ヤマハ発動機の公式アカウント/#YAMAHAが美しい✨のRT魔/リプは気まぐれ/#ニャマハ🐈は癒し/イッヌは🐕#ヤマワン/馬は🐎#ウマハ/もはや #ゆるキャン 広報/#防災ライダー/#ヤマハの手/#セローはいいぞ	2
60	ガーディアンテイルズ公式	GuardianTalesJP	"Kong Studiosが開発/配信を務め、Yostarと共に贈る、スマートフォン向けドット絵アクションRPG『ガーディアンテイルズ』の公式アカウントです。
ガーディアンの皆様に様々な情報をお届けします。
お問い合わせはこちら⇒https://t.co/cdvWzYC2Sj
#ガーディアンテイルズ #ガデテル"	0
61	西川貴教	TMR15	(株)Diesel Corporation 代表取締役社長、(株)MAGES. 特別顧問、滋賀ふるさと観光大使、滋賀県文化功労賞受賞、イナズマロック フェス、イナズマフードGPXL、稲妻イグナイト 主催、B-PROJECT 総合プロデュース、BEST BODY JAPAN日本代表、アニメジャパン2022公式アンバサダー	10
62	TVアニメ『アズールレーン びそくぜんしんっ！』公式	azurlane_bisoku	"アズールレーン公式Twitter、まんが4コマぱれっと（一迅社刊）にて連載されている人気4コマコミック『アズールレーン びそくぜんしんっ！』がショートアニメ作品として2021年1月より放送開始！
アニメーション制作：Yostar Pictures / studio CANDY BOX
ハッシュタグ：#びそくアニメ"	0
63	ブルーアーカイブ公式	Blue_ArchiveJP	"Yostar&NEXON Gamesが贈るスマートフォン向け学園×青春×物語RPG『ブルーアーカイブ -Blue Archive-』公式Twitterです。
ゲーム内最新情報やキヴォトスの出来事などを、私アロナがお届けします！
お問い合わせ・ご要望はこちら：https://t.co/Q6PjW5sPv4
#ブルアカ"	0
64	株式会社Yostar Pictures	YostarPictures	"映像制作会社 株式会社Yostar Picturesの公式アカウントです。
弊社に関するお問い合わせは、弊社Webページの「✉CONTACT」よりお送りください。"	0
65	YostarGames	YostarGlobal	Yostar Games is an internet game company that specializes in the development, global distribution, investment and IP management of online games.	0
66	【公式】雀魂-じゃんたま-	MahjongSoul_JP	"無料オンライン麻雀「雀魂」の公式アカウントにゃ！ 
今日もみんなでたのしくジャンジャン遊ぶにゃ！ 

公式HP：https://t.co/0M1i3Yah53
アニメ公式HP：https://t.co/CYlYoC2CNG
Discord ：https://t.co/99jbDIJVLv
ハッシュタグ ：#雀魂 #じゃんたま"	0
67	株式会社Yostar	Yostar_Japan	"ゲーム・パブリッシャー株式会社Yostarの公式アカウントです。
 ※ゲームに関するお問い合わせは、各タイトルのサポート窓口までお願いいたします。
※採用やご提案など弊社に関するお問い合わせなどは、弊社Webページの「お問い合わせ」よりお送りください。"	0
68	Honkai Impact 3rd	HonkaiImpact3rd	Official Twitter of #HonkaiImpact3rd, the ultimate ACG Action title with next-gen gameplay.  Fight for everything that is beautiful in this world! #HoYoverse	0
69	原神（Genshin）公式	Genshin_7	PS5・PS4・iOS・Android・PC向けオープンワールドRPG『原神』公式Twitterアカウントです。最新情報をツイートします！ #原神 #Genshin #HoYoverse	0
70	Honkai: Star Rail	honkaistarrail	Honkai: Star Rail is an all-new strategy-RPG title in the Honkai series that takes players on a cosmic adventure across the stars. #HonkaiStarRail	0
71	Zenless Zone Zero	ZZZ_EN	Welcome to New Eridu —  Where Humanity Rises Anew!	4
72	HoYoLAB	HoYoLAB_Mimo	Official Twitter of #HoYoLAB, the gaming and creative community with tons of amazing content! Download: https://t.co/CPPciG9J6m	0
73	N0va Desktop	N0vaDesktop	Meet Lumi and personalize your device with this live wallpaper app!	0
74	HOYO-MiX	hoyo_mix	"HOYO-MiX is a music studio by miHoYo. Lead by Cai ""Zoe"" Jinhan, our team composes and produces original music, including ""Rubia,"" ""Starfall,"" and others."	0
75	Tears of Themis	TearsofThemisEN	"#TearsOfThemis #HoYoverse
✦ Embark now on an adventure of romance and wits!
✦ Contact us: totcs_glb@hoyoverse.com
✦ https://t.co/kEZv8YBcYo"	10
76	Genshin Impact ES	genshinimpactes	Bienvenidos a Teyvat, un continente fantástico regido por siete elementos. Explora el mundo en busca de tu hermano/a perdido y desvela los misterios ocultos.	0
77	Genshin Impact	GenshinImpact	In the world of Teyvat — where all kinds of elemental powers constantly surge — epic adventures await, fearless Travelers!	0
78	崩壊3rd公式	houkai3rd	"本格アクションゲーム『崩壊3rd』の公式アカウント！ゲーム内容や関連情報をお届けします。ハッシュタグは #崩壊3rd 
公式YouTube：https://t.co/cW74XXiWR4
HoYoLAB：https://t.co/y3TGqg4IZo"	0
79	붕괴3rd	HonkaiImpact3kr	히페리온 호 작전 개시! #붕괴3rd	0
80	小岩井ことり	koiwai_kotori	"声優 小岩井ことりとスタッフが各種情報をツイートします。
イヤホン・ヘッドフォンとDTMと自作PCも大好き!!

🎵 ラジオ「ことりの音」第2第4木22時放送
📙 雑誌「GetNavi」「Purizm」連載
💿ASMRレーベル「kotoneiro」"	0
81	西川貴教	TMR15	(株)Diesel Corporation 代表取締役社長、(株)MAGES. 特別顧問、滋賀ふるさと観光大使、滋賀県文化功労賞受賞、イナズマロック フェス、イナズマフードGPXL、稲妻イグナイト 主催、B-PROJECT 総合プロデュース、BEST BODY JAPAN日本代表、アニメジャパン2022公式アンバサダー	0
82	三森すずこ	mimori_suzuko	声優です。歌も歌います。ダンスもします。LINEブログ&友だち登録してね♪ https://t.co/W4CN22vG7V	0
83	高橋李依	taka8rie	高橋李依（たかはしりえ）と申します。声を使った活動をしています。📺#最近雇ったメイドが怪しい リリス #オリエント つぐみ #彼女お借りします 墨 #ダイの大冒険 フローラ #よう実2 ひより #インセクトランド エデン #爆丸 ダン🎬#高木さんめ #いせかる #ゆるキャン 🏠#りえ高	0
84	Azur Lane Official	AzurLane_EN	The battleship girls game Azur Lane is now available! #AzurLane This is our official twitter. If you have any questions, please email to al.cs@yo-star.com	0
85	Arknights_EN	ArknightsEN	Welcome to the official Twitter of Arknights EN. #Arknights is a strategic RPG mobile game with a fantasy theme. Official Discord server: https://t.co/IRlBLgG09c	9
86	アズールレーン公式	azurlane_staff	好評配信中の新作スマホ向けゲーム「アズールレーン」　＃アズールレーン 公式Twitterアカウントです。   お問い合わせ⇛ cs@azurlane.net	0
87	Aether Gazer	AetherGazerEN	Welcome to Gaea. The new beginning of human consciousness.	0
88	株式会社Yostar	Yostar_Japan	"ゲーム・パブリッシャー株式会社Yostarの公式アカウントです。
 ※ゲームに関するお問い合わせは、各タイトルのサポート窓口までお願いいたします。
※採用やご提案など弊社に関するお問い合わせなどは、弊社Webページの「お問い合わせ」よりお送りください。"	0
89	Revived Witch Official	RevivedWitchEN	"Welcome to the official Twitter of the pixel-art RPG, #RevivedWitch!

✨Official Discord Server: https://t.co/6BIuuwXFzR
✨CS Mail: rw.cs@yo-star.com"	0
90	명일방주	ArknightsKorea	YOSTAR가 운영하는 모바일 게임 '명일방주'의 공식 트위터입니다.	0
91	Anime Expo	AnimeExpo	Bringing fans & industry members together for our annual celebration of Japanese pop culture. Join us in LA on July 1-4, 2022 for #AX2022! #AXHelp	0
92	アークナイツ公式	ArknightsStaff	YostarとHyperGryphが贈るスマートフォン向け新作ゲーム「#アークナイツ」の公式アカウントです。 戦友募集のオススメハッシュタグ⇛ #アークナイツ戦友募集。お問い合わせ⇛ https://t.co/4jO8GXtlpg	0
93	【公式】雀魂-じゃんたま-	MahjongSoul_JP	"無料オンライン麻雀「雀魂」の公式アカウントにゃ！ 
今日もみんなでたのしくジャンジャン遊ぶにゃ！ 

公式HP：https://t.co/0M1i3Yah53
アニメ公式HP：https://t.co/CYlYoC2CNG
Discord ：https://t.co/99jbDIJVLv
ハッシュタグ ：#雀魂 #じゃんたま"	0
94	アズールレーン公式	azurlane_staff	好評配信中の新作スマホ向けゲーム「アズールレーン」　＃アズールレーン 公式Twitterアカウントです。   お問い合わせ⇛ cs@azurlane.net	10
95	Arknights_EN	ArknightsEN	Welcome to the official Twitter of Arknights EN. #Arknights is a strategic RPG mobile game with a fantasy theme. Official Discord server: https://t.co/IRlBLgG09c	0
96	Aether Gazer	AetherGazerEN	Welcome to Gaea. The new beginning of human consciousness.	0
97	YostarGames	YostarGlobal	Yostar Games is an internet game company that specializes in the development, global distribution, investment and IP management of online games.	0
98	Revived Witch Official	RevivedWitchEN	"Welcome to the official Twitter of the pixel-art RPG, #RevivedWitch!

✨Official Discord Server: https://t.co/6BIuuwXFzR
✨CS Mail: rw.cs@yo-star.com"	0
99	명일방주	ArknightsKorea	YOSTAR가 운영하는 모바일 게임 '명일방주'의 공식 트위터입니다.	0
100	アークナイツ公式	ArknightsStaff	YostarとHyperGryphが贈るスマートフォン向け新作ゲーム「#アークナイツ」の公式アカウントです。 戦友募集のオススメハッシュタグ⇛ #アークナイツ戦友募集。お問い合わせ⇛ https://t.co/4jO8GXtlpg	0
101	【公式】雀魂-じゃんたま-	MahjongSoul_JP	"無料オンライン麻雀「雀魂」の公式アカウントにゃ！ 
今日もみんなでたのしくジャンジャン遊ぶにゃ！ 

公式HP：https://t.co/0M1i3Yah53
アニメ公式HP：https://t.co/CYlYoC2CNG
Discord ：https://t.co/99jbDIJVLv
ハッシュタグ ：#雀魂 #じゃんたま"	0
102	株式会社Yostar	Yostar_Japan	"ゲーム・パブリッシャー株式会社Yostarの公式アカウントです。
 ※ゲームに関するお問い合わせは、各タイトルのサポート窓口までお願いいたします。
※採用やご提案など弊社に関するお問い合わせなどは、弊社Webページの「お問い合わせ」よりお送りください。"	0
103	ガーディアンテイルズ公式	GuardianTalesJP	"Kong Studiosが開発/配信を務め、Yostarと共に贈る、スマートフォン向けドット絵アクションRPG『ガーディアンテイルズ』の公式アカウントです。
ガーディアンの皆様に様々な情報をお届けします。
お問い合わせはこちら⇒https://t.co/cdvWzYC2Sj
#ガーディアンテイルズ #ガデテル"	0
104	ブルーアーカイブ公式	Blue_ArchiveJP	"Yostar&NEXON Gamesが贈るスマートフォン向け学園×青春×物語RPG『ブルーアーカイブ -Blue Archive-』公式Twitterです。
ゲーム内最新情報やキヴォトスの出来事などを、私アロナがお届けします！
お問い合わせ・ご要望はこちら：https://t.co/Q6PjW5sPv4
#ブルアカ"	0
105	株式会社Yostar Pictures	YostarPictures	"映像制作会社 株式会社Yostar Picturesの公式アカウントです。
弊社に関するお問い合わせは、弊社Webページの「✉CONTACT」よりお送りください。"	0
106	명일방주	ArknightsKorea	YOSTAR가 운영하는 모바일 게임 '명일방주'의 공식 트위터입니다.	0
107	Arknights_EN	ArknightsEN	Welcome to the official Twitter of Arknights EN. #Arknights is a strategic RPG mobile game with a fantasy theme. Official Discord server: https://t.co/IRlBLgG09c	0
108	Azur Lane Official	AzurLane_EN	The battleship girls game Azur Lane is now available! #AzurLane This is our official twitter. If you have any questions, please email to al.cs@yo-star.com	0
109	【公式】雀魂-じゃんたま-	MahjongSoul_JP	"無料オンライン麻雀「雀魂」の公式アカウントにゃ！ 
今日もみんなでたのしくジャンジャン遊ぶにゃ！ 

公式HP：https://t.co/0M1i3Yah53
アニメ公式HP：https://t.co/CYlYoC2CNG
Discord ：https://t.co/99jbDIJVLv
ハッシュタグ ：#雀魂 #じゃんたま"	0
110	YostarGames	YostarGlobal	Yostar Games is an internet game company that specializes in the development, global distribution, investment and IP management of online games.	0
111	株式会社Yostar	Yostar_Japan	"ゲーム・パブリッシャー株式会社Yostarの公式アカウントです。
 ※ゲームに関するお問い合わせは、各タイトルのサポート窓口までお願いいたします。
※採用やご提案など弊社に関するお問い合わせなどは、弊社Webページの「お問い合わせ」よりお送りください。"	0
112	アズールレーン公式	azurlane_staff	好評配信中の新作スマホ向けゲーム「アズールレーン」　＃アズールレーン 公式Twitterアカウントです。   お問い合わせ⇛ cs@azurlane.net	0
